played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week
True,Rams,Bears,LA,CHI,17,7,home,24,173,193,110,74,11
True,Vikings,Broncos,MIN,DEN,27,23,home,50,284,270,37,124,11
True,Chargers,Chiefs,LAC,KC,17,24,away,41,345,180,93,130,11
True,Ravens,Texans,BAL,HOU,41,7,home,48,235,110,256,122,11
True,Redskins,Jets,WAS,NYJ,17,34,away,51,171,285,54,115,11
True,Eagles,Patriots,PHI,NE,10,17,away,27,174,224,81,74,11
True,Panthers,Falcons,CAR,ATL,3,29,away,32,270,295,77,54,11
True,Dolphins,Bills,MIA,BUF,20,37,away,57,280,256,23,168,11
True,Buccaneers,Saints,TB,NO,17,34,away,51,298,219,36,109,11
True,Raiders,Bengals,OAK,CIN,17,10,home,27,273,73,113,173,11
True,Falcons,Buccaneers,ATL,TB,16,28,away,44,233,313,57,119,12
False,49ers,Packers,SF,GB,0,0,0,0,0,0,0,0,12
False,Rams,Ravens,LA,BAL,0,0,0,0,0,0,0,0,12
True,Browns,Dolphins,CLE,MIA,34,17,home,51,320,153,119,68,12
True,Bears,Giants,CHI,NYG,19,14,home,33,263,105,69,109,12
True,Eagles,Seahawks,PHI,SEA,3,17,away,20,116,161,106,170,12
True,Patriots,Cowboys,NE,DAL,0,0,tie,0,0,0,0,0,12
True,Saints,Panthers,NO,CAR,31,30,home,61,209,217,111,98,12
True,Jets,Raiders,NYJ,OAK,34,3,home,37,313,140,90,69,12
True,Bills,Broncos,BUF,DEN,20,3,home,23,185,82,226,85,12
True,Titans,Jaguars,TEN,JAC,0,0,tie,0,0,0,0,0,12
True,Redskins,Lions,WAS,DET,13,16,away,29,113,180,74,175,12
True,Texans,Colts,HOU,IND,20,17,home,37,297,121,99,175,12
True,Bengals,Steelers,CIN,PIT,10,13,away,23,158,179,86,112,12
False,Cowboys,Bills,DAL,BUF,0,0,0,0,0,0,0,0,13
False,Chiefs,Raiders,KC,OAK,0,0,0,0,0,0,0,0,13
False,Dolphins,Eagles,MIA,PHI,0,0,0,0,0,0,0,0,13
False,Bengals,Jets,CIN,NYJ,0,0,0,0,0,0,0,0,13
False,Falcons,Saints,ATL,NO,0,0,0,0,0,0,0,0,13
False,Seahawks,Vikings,SEA,MIN,0,0,0,0,0,0,0,0,13
False,Colts,Titans,IND,TEN,0,0,0,0,0,0,0,0,13
False,Texans,Patriots,HOU,NE,0,0,0,0,0,0,0,0,13
False,Cardinals,Rams,ARI,LA,0,0,0,0,0,0,0,0,13
False,Broncos,Chargers,DEN,LAC,0,0,0,0,0,0,0,0,13
False,Steelers,Browns,PIT,CLE,0,0,0,0,0,0,0,0,13
False,Panthers,Redskins,CAR,WAS,0,0,0,0,0,0,0,0,13
False,Giants,Packers,NYG,GB,0,0,0,0,0,0,0,0,13
False,Ravens,49ers,BAL,SF,0,0,0,0,0,0,0,0,13
False,Lions,Bears,DET,CHI,0,0,0,0,0,0,0,0,13
False,Jaguars,Buccaneers,JAC,TB,0,0,0,0,0,0,0,0,13
False,Bears,Cowboys,CHI,DAL,0,0,0,0,0,0,0,0,14
False,Raiders,Titans,OAK,TEN,0,0,0,0,0,0,0,0,14
False,Packers,Redskins,GB,WAS,0,0,0,0,0,0,0,0,14
False,Vikings,Lions,MIN,DET,0,0,0,0,0,0,0,0,14
False,Patriots,Chiefs,NE,KC,0,0,0,0,0,0,0,0,14
False,Falcons,Panthers,ATL,CAR,0,0,0,0,0,0,0,0,14
False,Saints,49ers,NO,SF,0,0,0,0,0,0,0,0,14
False,Browns,Bengals,CLE,CIN,0,0,0,0,0,0,0,0,14
False,Buccaneers,Colts,TB,IND,0,0,0,0,0,0,0,0,14
False,Cardinals,Steelers,ARI,PIT,0,0,0,0,0,0,0,0,14
False,Eagles,Giants,PHI,NYG,0,0,0,0,0,0,0,0,14
False,Texans,Broncos,HOU,DEN,0,0,0,0,0,0,0,0,14
False,Jets,Dolphins,NYJ,MIA,0,0,0,0,0,0,0,0,14
False,Jaguars,Chargers,JAC,LAC,0,0,0,0,0,0,0,0,14
False,Bills,Ravens,BUF,BAL,0,0,0,0,0,0,0,0,14
False,Rams,Seahawks,LA,SEA,0,0,0,0,0,0,0,0,14
