home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct,played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season,fk
218.66666666666666,271.3333333333333,150.66666666666666,90.33333333333333,27,15,1,163.66666666666666,285,119.66666666666667,98,23.666666666666668,22.666666666666668,0.3333333333333333,True,Patriots,Bills,NE,BUF,0,16,away,16,187,244,90,134,4,2016,Patriots_Bills_4_2016
214.33333333333334,211,51,84,21.333333333333332,13.333333333333334,1,297.6666666666667,262.3333333333333,99,77.33333333333333,21,20.333333333333332,0.6666666666666666,True,Vikings,Giants,MIN,NYG,24,10,home,34,262,261,104,78,4,2016,Vikings_Giants_4_2016
293,247,82,109.33333333333333,18.666666666666668,25,0.3333333333333333,282.6666666666667,267.6666666666667,83,147.33333333333334,21.333333333333332,22.333333333333332,0.3333333333333333,True,Bengals,Dolphins,CIN,MIA,22,7,home,29,285,160,77,62,4,2016,Bengals_Dolphins_4_2016
312,313,136,120,34.666666666666664,30.333333333333332,0.6666666666666666,243.33333333333334,183,146,90.33333333333333,25.333333333333332,23.333333333333332,0.3333333333333333,True,Falcons,Panthers,ATL,CAR,48,33,home,81,481,329,90,49,4,2016,Falcons_Panthers_4_2016
242,168.33333333333334,82.33333333333333,86,19,14.666666666666666,1,287.6666666666667,340,148.33333333333334,136,26.666666666666668,26.333333333333332,0.6666666666666666,True,Ravens,Raiders,BAL,OAK,27,28,away,55,282,199,130,62,4,2016,Ravens_Raiders_4_2016
175.33333333333334,254.66666666666666,116.66666666666667,122.66666666666667,24.333333333333332,27.666666666666668,0.3333333333333333,251,288.3333333333333,134,91,25.666666666666668,20,0.6666666666666666,True,49ers,Cowboys,SF,DAL,17,24,away,41,189,234,106,194,4,2016,49ers_Cowboys_4_2016
239,214.33333333333334,71.66666666666667,142.66666666666666,15,27.666666666666668,0,312.6666666666667,264.3333333333333,101,114.66666666666667,27,28.333333333333332,0.3333333333333333,True,Bears,Lions,CHI,DET,17,14,home,31,294,197,114,66,4,2016,Bears_Lions_4_2016
251.66666666666666,322,114,81.66666666666667,29,24.333333333333332,0.3333333333333333,341.6666666666667,299,81.33333333333333,149.33333333333334,26.333333333333332,32,0,True,Chargers,Saints,SD,NO,34,35,away,69,308,192,38,83,4,2016,Chargers_Saints_4_2016
297,272,86,98,23.333333333333332,33.666666666666664,0.3333333333333333,242.66666666666666,178.33333333333334,111.33333333333333,127.66666666666667,28,19,1,True,Buccaneers,Broncos,TB,DEN,7,27,away,34,143,218,72,89,4,2016,Buccaneers_Broncos_4_2016
262.3333333333333,201.66666666666666,55,109.66666666666667,18,28,0,285,304.3333333333333,86,95.66666666666667,27,31.666666666666668,0.3333333333333333,True,Jaguars,Colts,JAC,IND,30,27,home,57,195,190,136,94,4,2016,Jaguars_Colts_4_2016
330.6666666666667,301.6666666666667,75.66666666666667,123,22.666666666666668,30.666666666666668,0.3333333333333333,223.66666666666666,294.3333333333333,144.66666666666666,109.33333333333333,18,28,0,True,Redskins,Browns,WAS,CLE,31,20,home,51,156,217,145,163,4,2016,Redskins_Browns_4_2016
248.66666666666666,284,130.66666666666666,71.66666666666667,20.666666666666668,26,0.3333333333333333,256.6666666666667,162.66666666666666,102,87.66666666666667,17.333333333333332,12.333333333333334,0.6666666666666666,True,Jets,Seahawks,NYJ,SEA,17,27,away,44,247,288,58,66,4,2016,Jets_Seahawks_4_2016
254,332,100,75.33333333333333,21.666666666666668,22,0.6666666666666666,241,225,91.33333333333333,123,23,16.333333333333332,0.6666666666666666,True,Steelers,Chiefs,PIT,KC,43,14,home,57,287,270,149,87,4,2016,Steelers_Chiefs_4_2016
214.66666666666666,151.33333333333334,111.66666666666667,125.66666666666667,14,17.666666666666668,0.6666666666666666,229.33333333333334,239.66666666666666,128,108.33333333333333,14,19,0.3333333333333333,True,Texans,Titans,HOU,TEN,27,20,home,47,244,196,115,124,4,2016,Texans_Titans_4_2016
274.3333333333333,189,95,133,26.333333333333332,21,0.3333333333333333,174,266,88.66666666666667,100,15.333333333333334,21,0.6666666666666666,True,Cardinals,Rams,ARI,LA,13,17,away,30,302,247,118,41,4,2016,Cardinals_Rams_4_2016
262.25,316.5,112.25,78.25,27,20,0.75,248.25,285,112.5,70.25,19.75,26.25,0.25,True,Steelers,Jets,PIT,NYJ,31,13,home,44,375,244,61,72,5,2016,Steelers_Jets_5_2016
226.25,223.5,64.25,82.5,22,12.5,1,222,162.5,112.5,125.25,17.25,18.25,0.75,True,Vikings,Texans,MIN,HOU,31,13,home,44,255,155,96,59,5,2016,Vikings_Texans_5_2016
