played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week
True,Broncos,Chargers,DEN,LAC,24,21,home,45,181,185,140,64,1
False,Dolphins,Buccaneers,MIA,TB,0,0,0,0,0,0,0,0,1
True,Browns,Steelers,CLE,PIT,18,21,away,39,180,255,57,35,1
True,Bears,Falcons,CHI,ATL,17,23,away,40,176,308,125,64,1
True,Redskins,Eagles,WAS,PHI,17,30,away,47,200,298,64,58,1
True,Bills,Jets,BUF,NYJ,21,12,home,33,218,176,190,38,1
True,Texans,Jaguars,HOU,JAC,7,29,away,36,110,125,93,155,1
True,Cowboys,Giants,DAL,NYG,19,3,home,22,263,198,129,35,1
True,Lions,Cardinals,DET,ARI,35,23,home,58,285,263,82,45,1
True,Patriots,Chiefs,NE,KC,27,42,away,69,247,352,124,185,1
True,Vikings,Saints,MIN,NO,29,19,home,48,341,284,129,60,1
True,Titans,Raiders,TEN,OAK,16,26,away,42,255,250,95,109,1
True,Rams,Colts,LA,IND,46,9,home,55,310,150,63,75,1
True,Packers,Seahawks,GB,SEA,17,9,home,26,286,135,84,90,1
True,Bengals,Ravens,CIN,BAL,0,20,away,20,144,111,77,157,1
True,49ers,Panthers,SF,CAR,3,23,away,26,166,171,51,116,1
True,Bengals,Texans,CIN,HOU,9,13,away,22,213,98,82,168,2
True,Ravens,Browns,BAL,CLE,24,10,home,34,201,293,136,93,2
True,Steelers,Vikings,PIT,MIN,26,9,home,35,233,146,102,91,2
True,Raiders,Jets,OAK,NYJ,45,20,home,65,230,145,180,126,2
True,Saints,Patriots,NO,NE,20,36,away,56,348,436,81,119,2
True,Buccaneers,Bears,TB,CHI,29,7,home,36,194,290,117,20,2
True,Jaguars,Titans,JAC,TEN,16,37,away,53,211,211,99,179,2
True,Colts,Cardinals,IND,ARI,13,16,away,29,190,306,76,83,2
True,Chiefs,Eagles,KC,PHI,27,20,home,47,232,299,112,107,2
True,Broncos,Cowboys,DEN,DAL,42,17,home,59,202,228,178,40,2
True,Panthers,Bills,CAR,BUF,9,3,home,12,178,107,77,69,2
True,Falcons,Packers,ATL,GB,34,23,home,57,223,308,141,59,2
True,Giants,Lions,NYG,DET,10,24,away,34,208,119,62,138,2
True,Seahawks,49ers,SEA,SF,12,9,home,21,181,89,131,159,2
True,Chargers,Dolphins,LAC,MIA,17,19,away,36,323,225,44,111,2
True,Rams,Redskins,LA,WAS,20,27,away,47,235,156,97,229,2
True,Titans,Seahawks,TEN,SEA,33,27,home,60,225,364,195,69,3
True,Panthers,Saints,CAR,NO,13,34,away,47,156,213,132,149,3
True,Packers,Bengals,GB,CIN,27,24,home,51,280,191,64,110,3
True,Bills,Broncos,BUF,DEN,26,16,home,42,197,255,75,111,3
True,Colts,Browns,IND,CLE,31,28,home,59,243,235,92,111,3
True,Bears,Steelers,CHI,PIT,23,17,home,40,84,212,222,70,3
True,Chargers,Chiefs,LAC,KC,10,24,away,34,226,122,104,189,3
True,Cardinals,Cowboys,ARI,DAL,17,28,away,45,283,174,49,99,3
True,Eagles,Giants,PHI,NYG,27,24,home,51,161,366,193,49,3
True,49ers,Rams,SF,LA,39,41,away,80,308,292,113,126,3
True,Patriots,Texans,NE,HOU,36,33,home,69,337,292,59,125,3
True,Redskins,Raiders,WAS,OAK,27,10,home,37,356,96,116,32,3
True,Jets,Dolphins,NYJ,MIA,20,6,home,26,233,195,103,30,3
True,Lions,Falcons,DET,ATL,26,30,away,56,253,277,71,151,3
True,Jaguars,Ravens,JAC,BAL,44,7,home,51,244,52,166,134,3
True,Vikings,Buccaneers,MIN,TB,34,17,home,51,369,316,125,26,3
True,Broncos,Raiders,DEN,OAK,16,10,home,26,155,230,143,24,4
True,Packers,Bears,GB,CHI,35,14,home,49,169,205,91,103,4
True,Browns,Bengals,CLE,CIN,7,31,away,38,170,264,45,86,4
True,Falcons,Bills,ATL,BUF,17,23,away,40,242,164,147,117,4
True,Ravens,Steelers,BAL,PIT,9,26,away,35,206,208,82,173,4
True,Cardinals,49ers,ARI,SF,18,15,home,33,317,210,51,95,4
True,Seahawks,Colts,SEA,IND,46,18,home,64,283,139,194,98,4
True,Vikings,Lions,MIN,DET,7,14,away,21,197,154,87,97,4
True,Dolphins,Saints,MIA,NO,0,20,away,20,128,261,58,86,4
True,Jets,Jaguars,NYJ,JAC,23,20,home,43,215,136,256,175,4
True,Texans,Titans,HOU,TEN,57,14,home,71,272,109,173,86,4
True,Cowboys,Rams,DAL,LA,30,35,away,65,251,244,189,168,4
True,Patriots,Panthers,NE,CAR,30,33,away,63,293,304,80,140,4
True,Chargers,Eagles,LAC,PHI,24,26,away,50,342,240,58,214,4
True,Chiefs,Redskins,KC,WAS,29,20,home,49,261,220,168,111,4
True,Buccaneers,Giants,TB,NYG,25,23,home,48,323,288,111,91,4
True,Colts,49ers,IND,SF,26,23,home,49,288,336,159,66,5
True,Buccaneers,Patriots,TB,NE,14,19,away,33,319,289,90,113,5
True,Giants,Chargers,NYG,LAC,22,27,away,49,183,258,152,124,5
True,Dolphins,Titans,MIA,TEN,16,10,home,26,78,119,100,69,5
True,Steelers,Jaguars,PIT,JAC,9,30,away,39,301,82,70,231,5
True,Raiders,Ravens,OAK,BAL,17,30,away,47,137,222,108,143,5
True,Bengals,Bills,CIN,BUF,20,16,home,36,323,139,65,82,5
True,Rams,Seahawks,LA,SEA,10,16,away,26,275,179,100,62,5
True,Cowboys,Packers,DAL,GB,31,35,away,66,245,182,163,160,5
True,Eagles,Cardinals,PHI,ARI,34,7,home,41,297,276,122,31,5
True,Bears,Vikings,CHI,MIN,17,20,away,37,159,141,115,159,5
True,Texans,Chiefs,HOU,KC,34,42,away,76,248,323,144,127,5
True,Browns,Jets,CLE,NYJ,14,17,away,31,279,178,140,34,5
True,Lions,Panthers,DET,CAR,24,27,away,51,192,334,50,28,5
True,Cardinals,Buccaneers,ARI,TB,38,33,home,71,272,344,160,70,6
True,Redskins,49ers,WAS,SF,26,24,home,50,325,250,94,85,6
True,Jaguars,Rams,JAC,LA,17,27,away,44,220,107,169,142,6
True,Ravens,Bears,BAL,CHI,24,27,away,51,166,111,125,231,6
True,Broncos,Giants,DEN,NYG,10,23,away,33,366,118,46,148,6
True,Texans,Browns,HOU,CLE,33,17,home,50,217,113,123,134,6
True,Saints,Lions,NO,DET,52,38,home,90,186,281,193,66,6
True,Vikings,Packers,MIN,GB,23,10,home,33,239,155,112,72,6
True,Titans,Colts,TEN,IND,36,22,home,58,305,212,168,85,6
True,Chiefs,Steelers,KC,PIT,13,19,away,32,223,245,28,194,6
True,Panthers,Eagles,CAR,PHI,23,28,away,51,225,209,80,101,6
True,Falcons,Dolphins,ATL,MIA,17,20,away,37,239,151,100,138,6
True,Raiders,Chargers,OAK,LAC,16,17,away,33,165,263,109,80,6
True,Jets,Patriots,NYJ,NE,17,24,away,41,334,257,74,118,6
True,Patriots,Falcons,NE,ATL,23,7,home,30,241,223,162,120,7
True,Steelers,Bengals,PIT,CIN,29,14,home,43,268,108,152,71,7
True,Vikings,Ravens,MIN,BAL,24,16,home,40,188,144,169,64,7
True,Bills,Buccaneers,BUF,TB,30,27,home,57,261,378,173,69,7
True,Colts,Jaguars,IND,JAC,0,27,away,27,136,330,96,188,7
True,Dolphins,Jets,MIA,NYJ,31,28,home,59,304,180,53,92,7
True,Eagles,Redskins,PHI,WAS,34,24,home,58,244,269,127,75,7
True,49ers,Cowboys,SF,DAL,10,40,away,50,187,236,103,265,7
True,Rams,Cardinals,LA,ARI,33,0,home,33,228,171,197,25,7
True,Packers,Saints,GB,NO,17,26,away,43,79,324,181,161,7
True,Giants,Seahawks,NYG,SEA,7,24,away,31,131,321,46,104,7
True,Raiders,Chiefs,OAK,KC,31,30,home,61,417,331,88,94,7
True,Chargers,Broncos,LAC,DEN,21,0,home,21,162,182,80,69,7
True,Bears,Panthers,CHI,CAR,17,3,home,20,85,185,68,108,7
True,Browns,Titans,CLE,TEN,9,12,away,21,218,189,66,80,7
True,Jets,Falcons,NYJ,ATL,20,25,away,45,236,246,43,140,8
True,Ravens,Dolphins,BAL,MIA,40,0,home,40,121,151,174,45,8
True,Seahawks,Texans,SEA,HOU,41,38,home,79,446,367,33,142,8
True,Bengals,Colts,CIN,IND,24,23,home,47,218,216,58,115,8
True,Buccaneers,Panthers,TB,CAR,3,17,away,20,194,154,85,100,8
True,Bills,Raiders,BUF,OAK,34,14,home,48,165,313,166,54,8
True,Patriots,Chargers,NE,LAC,21,13,home,34,317,192,97,157,8
True,Redskins,Cowboys,WAS,DAL,19,33,away,52,236,138,49,169,8
True,Saints,Bears,NO,CHI,20,12,home,32,286,150,101,157,8
True,Lions,Steelers,DET,PIT,15,20,away,35,411,317,71,75,8
True,Chiefs,Broncos,KC,DEN,29,19,home,48,197,187,79,177,8
True,Eagles,49ers,PHI,SF,33,10,home,43,192,144,112,94,8
True,Browns,Vikings,CLE,MIN,16,33,away,49,161,287,115,88,8
True,Cowboys,Chiefs,DAL,KC,28,17,home,45,244,255,131,68,9
True,Packers,Lions,GB,DET,17,30,away,47,233,353,78,64,9
