played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season
True,Seahawks,Falcons,SEA,ATL,26,24,home,50,261,310,72,52,6,2016
True,Giants,Ravens,NYG,BAL,27,23,home,50,397,293,38,98,6,2016
True,Lions,Rams,DET,LA,31,28,home,59,265,311,83,76,6,2016
True,Bears,Jaguars,CHI,JAC,16,17,away,33,297,263,92,54,6,2016
True,Dolphins,Steelers,MIA,PIT,30,15,home,45,252,169,222,128,6,2016
True,Raiders,Chiefs,OAK,KC,10,26,away,36,221,223,64,183,6,2016
True,Saints,Panthers,NO,CAR,41,38,home,79,460,303,63,103,6,2016
True,Redskins,Eagles,WAS,PHI,27,20,home,47,263,145,230,94,6,2016
True,Bills,49ers,BUF,SF,45,16,home,61,179,167,313,133,6,2016
True,Texans,Colts,HOU,IND,26,23,home,49,256,231,158,161,6,2016
True,Packers,Cowboys,GB,DAL,16,30,away,46,294,233,78,191,6,2016
True,Titans,Browns,TEN,CLE,28,26,home,54,270,301,137,40,6,2016
True,Cardinals,Jets,ARI,NYJ,28,3,home,31,225,197,171,33,6,2016
True,Patriots,Bengals,NE,CIN,35,17,home,52,358,237,79,120,6,2016
True,Chargers,Broncos,SD,DEN,21,13,home,34,166,220,99,84,6,2016
True,Cardinals,Seahawks,ARI,SEA,6,6,tie,12,311,205,132,52,7,2016
True,Broncos,Texans,DEN,HOU,27,9,home,36,157,131,190,140,7,2016
True,Jets,Ravens,NYJ,BAL,24,16,home,40,189,234,155,11,7,2016
True,Titans,Colts,TEN,IND,26,34,away,60,207,341,124,81,7,2016
True,Falcons,Chargers,ATL,SD,30,33,away,63,256,348,130,78,7,2016
True,Lions,Redskins,DET,WAS,20,17,home,37,250,283,94,130,7,2016
True,Bengals,Browns,CIN,CLE,31,17,home,48,288,172,271,180,7,2016
True,Packers,Bears,GB,CHI,26,10,home,36,303,120,103,69,7,2016
True,Chiefs,Saints,KC,NO,27,21,home,48,214,359,112,104,7,2016
True,Rams,Giants,LA,NYG,10,17,away,27,271,196,74,36,7,2016
True,Dolphins,Bills,MIA,BUF,28,25,home,53,198,200,256,67,7,2016
True,Eagles,Vikings,PHI,MIN,21,10,home,31,138,189,101,93,7,2016
True,Steelers,Patriots,PIT,NE,16,27,away,43,281,222,94,140,7,2016
True,49ers,Buccaneers,SF,TB,17,34,away,51,113,264,160,249,7,2016
True,Jaguars,Raiders,JAC,OAK,16,33,away,49,239,200,105,144,7,2016
True,Colts,Chiefs,IND,KC,14,30,away,44,172,334,105,88,8,2016
True,Broncos,Chargers,DEN,SD,27,19,home,46,267,246,57,123,8,2016
True,Texans,Lions,HOU,DET,20,13,home,33,164,231,105,58,8,2016
True,Saints,Seahawks,NO,SEA,25,20,home,45,252,285,123,74,8,2016
True,Bears,Vikings,CHI,MIN,20,10,home,30,245,201,158,57,8,2016
True,Panthers,Cardinals,CAR,ARI,30,20,home,50,208,316,141,24,8,2016
True,Cowboys,Eagles,DAL,PHI,29,23,home,52,273,194,187,97,8,2016
True,Browns,Jets,CLE,NYJ,28,31,away,59,339,222,68,171,8,2016
True,Falcons,Packers,ATL,GB,33,32,home,65,277,223,90,108,8,2016
True,Bengals,Redskins,CIN,WAS,27,27,tie,54,263,446,152,100,8,2016
True,Bills,Patriots,BUF,NE,25,41,away,66,209,285,167,72,8,2016
True,Buccaneers,Raiders,TB,OAK,24,30,away,54,168,498,102,128,8,2016
True,Titans,Jaguars,TEN,JAC,36,22,home,58,280,322,214,48,8,2016
True,Raiders,Broncos,OAK,DEN,30,20,home,50,179,266,218,33,9,2016
True,Chargers,Titans,SD,TEN,43,35,home,78,268,313,208,80,9,2016
True,Buccaneers,Falcons,TB,ATL,28,43,away,71,326,325,70,136,9,2016
True,Ravens,Steelers,BAL,PIT,21,14,home,35,224,241,50,36,9,2016
True,Browns,Cowboys,CLE,DAL,10,35,away,45,177,255,45,168,9,2016
True,49ers,Saints,SF,NO,23,41,away,64,393,323,93,248,9,2016
True,Rams,Panthers,LA,CAR,10,13,away,23,280,185,59,59,9,2016
True,Dolphins,Jets,MIA,NYJ,27,23,home,50,137,191,137,140,9,2016
True,Vikings,Lions,MIN,DET,16,22,away,38,259,214,78,97,9,2016
True,Seahawks,Bills,SEA,BUF,31,25,home,56,245,263,33,162,9,2016
True,Giants,Eagles,NYG,PHI,28,23,home,51,248,347,54,96,9,2016
True,Chiefs,Jaguars,KC,JAC,19,14,home,33,169,244,62,205,9,2016
True,Packers,Colts,GB,IND,26,31,away,57,289,270,116,85,9,2016
True,Patriots,Seahawks,NE,SEA,24,31,away,55,304,324,81,96,10,2016
True,Chargers,Dolphins,SD,MIA,24,31,away,55,309,231,70,106,10,2016
True,Redskins,Vikings,WAS,MIN,26,20,home,46,260,284,128,47,10,2016
True,Steelers,Cowboys,PIT,DAL,30,35,away,65,400,295,48,127,10,2016
True,Jets,Rams,NYJ,LA,6,9,away,15,157,155,139,125,10,2016
True,Cardinals,49ers,ARI,SF,23,20,home,43,363,198,80,83,10,2016
True,Panthers,Chiefs,CAR,KC,17,20,away,37,242,165,99,91,10,2016
True,Eagles,Falcons,PHI,ATL,24,15,home,39,221,255,208,48,10,2016
True,Ravens,Browns,BAL,CLE,28,7,home,35,277,111,119,33,10,2016
True,Titans,Packers,TEN,GB,47,25,home,72,292,333,154,69,10,2016
True,Jaguars,Texans,JAC,HOU,21,24,away,45,247,92,80,181,10,2016
True,Saints,Broncos,NO,DEN,23,25,away,48,293,234,80,103,10,2016
True,Buccaneers,Bears,TB,CHI,36,10,home,46,280,161,80,122,10,2016
True,Giants,Bengals,NYG,CIN,21,20,home,41,229,186,122,78,10,2016
True,Seahawks,Eagles,SEA,PHI,26,15,home,41,287,195,152,113,11,2016
True,Browns,Steelers,CLE,PIT,9,24,away,33,176,167,33,146,11,2016
True,Redskins,Packers,WAS,GB,42,24,home,66,364,340,151,84,11,2016
True,Vikings,Cardinals,MIN,ARI,30,24,home,54,145,155,72,135,11,2016
True,Bengals,Bills,CIN,BUF,12,16,away,28,207,159,93,183,11,2016
True,49ers,Patriots,SF,NE,17,30,away,47,177,273,122,171,11,2016
True,Cowboys,Ravens,DAL,BAL,27,17,home,44,299,267,118,101,11,2016
True,Raiders,Texans,OAK,HOU,27,20,home,47,295,230,30,124,11,2016
True,Panthers,Saints,CAR,NO,23,20,home,43,173,264,50,107,11,2016
True,Lions,Jaguars,DET,JAC,26,19,home,45,263,202,14,83,11,2016
True,Rams,Dolphins,LA,MIA,10,14,away,24,125,142,102,98,11,2016
True,Chiefs,Buccaneers,KC,TB,17,19,away,36,261,326,82,116,11,2016
True,Colts,Titans,IND,TEN,24,17,home,41,251,254,76,97,11,2016
True,Giants,Bears,NYG,CHI,22,16,home,38,227,222,102,93,11,2016
True,Jets,Patriots,NYJ,NE,17,22,away,39,269,286,64,91,12,2016
True,Eagles,Packers,PHI,GB,13,27,away,40,211,313,81,74,12,2016
True,Falcons,Cardinals,ATL,ARI,38,19,home,57,244,274,116,58,12,2016
True,Saints,Rams,NO,LA,49,21,home,70,346,178,209,69,12,2016
True,Broncos,Chiefs,DEN,KC,27,30,away,57,340,190,124,83,12,2016
True,Texans,Chargers,HOU,SD,13,21,away,34,239,235,114,67,12,2016
True,Cowboys,Redskins,DAL,WAS,31,26,home,57,190,449,163,56,12,2016
True,Ravens,Bengals,BAL,CIN,19,14,home,33,219,261,92,64,12,2016
True,Bills,Jaguars,BUF,JAC,28,21,home,49,151,118,153,183,12,2016
True,Buccaneers,Seahawks,TB,SEA,14,5,home,19,220,118,118,127,12,2016
True,Dolphins,49ers,MIA,SF,31,24,home,55,263,282,95,193,12,2016
True,Browns,Giants,CLE,NYG,13,27,away,40,285,192,58,104,12,2016
True,Raiders,Panthers,OAK,CAR,35,32,home,67,310,229,56,129,12,2016
True,Bears,Titans,CHI,TEN,21,27,away,48,316,226,95,149,12,2016
True,Lions,Vikings,DET,MIN,16,13,home,29,214,224,94,82,12,2016
True,Colts,Steelers,IND,PIT,7,28,away,35,219,221,91,148,12,2016
True,Jets,Colts,NYJ,IND,10,41,away,51,214,282,36,139,13,2016
True,Cardinals,Redskins,ARI,WAS,31,23,home,54,281,246,88,87,13,2016
True,Jaguars,Broncos,JAC,DEN,10,20,away,30,179,102,154,104,13,2016
True,Ravens,Dolphins,BAL,MIA,38,6,home,44,386,215,110,62,13,2016
True,Packers,Texans,GB,HOU,21,13,home,34,200,184,109,123,13,2016
True,Falcons,Chiefs,ATL,KC,28,29,away,57,290,266,128,123,13,2016
True,Bears,49ers,CHI,SF,26,6,home,32,184,6,142,141,13,2016
True,Raiders,Bills,OAK,BUF,38,24,home,62,260,170,139,212,13,2016
True,Bengals,Eagles,CIN,PHI,32,14,home,46,332,306,80,53,13,2016
True,Chargers,Buccaneers,SD,TB,21,28,away,49,211,268,119,81,13,2016
True,Patriots,Rams,NE,LA,26,10,home,36,269,126,133,36,13,2016
True,Steelers,Giants,PIT,NYG,24,14,home,38,272,178,117,56,13,2016
True,Vikings,Cowboys,MIN,DAL,15,17,away,32,231,124,87,140,13,2016
True,Saints,Lions,NO,DET,13,28,away,41,319,337,50,85,13,2016
True,Seahawks,Panthers,SEA,CAR,40,7,home,47,294,182,240,89,13,2016
True,Patriots,Ravens,NE,BAL,30,23,home,53,401,306,95,42,14,2016
True,Eagles,Redskins,PHI,WAS,22,27,away,49,288,227,95,107,14,2016
True,Packers,Seahawks,GB,SEA,38,10,home,48,237,218,93,136,14,2016
True,Dolphins,Cardinals,MIA,ARI,26,23,home,49,231,125,83,175,14,2016
True,Buccaneers,Saints,TB,NO,16,11,home,27,166,248,104,46,14,2016
